CardNr;FilePath;PackingType;Emoji1;Emoji2;Emoji3;Emoji4;Emoji5;Emoji6;Emoji7;Emoji8
018;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_018.png;ccir;scissors;ice;bison;skullandcrossbones;sunwithface;ghost;deciduoustree;mountfuji
019;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_019.png;ccis;dogface;musicalscore;key;timer;bison;greenapple;mouth;snowflake
020;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_020.png;ccir;trex;ladybeetle;lastquartermoonface;snowmanwithoutsnow;oncomingpolicecar;dragon;grinningcatwithsmilingeyes;bison
021;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_021.png;ccir;spider;droplet;pencil;bison;handwithfingerssplayed;lightbulb;hammer;turtle
022;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_022.png;ccic;spiderweb;heart;drunkperson;twitter;locked;eye;bison;redexclamationmark
023;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_023.png;ccis;oncomingpolicecar;twitter;spider;ice;fourleafclover;chesspawn;mouth;bomb
024;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_024.png;cci;yinyang;bomb;clownface;key;ghost;lastquartermoonface;spiderweb;pencil
025;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_025.png;cci;deciduoustree;spoutingwhale;redexclamationmark;sunglasses;greenapple;lightbulb;bomb;ladybeetle
026;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_026.png;ccic;grinningcatwithsmilingeyes;sunwithface;handwithfingerssplayed;locked;redquestionmark;bomb;stopsign;dogface
027;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_027.png;cci;timer;hammer;mapleleaf;bomb;skullandcrossbones;rosette;dragon;heart
028;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_028.png;ccib;eye;droplet;snowflake;trex;highheeledshoe;microbe;scissors;bomb
029;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_029.png;ccir;snowmanwithoutsnow;bomb;mountfuji;musicalscore;highvoltage;drunkperson;turtle;fire
030;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_030.png;ccic;rosette;chesspawn;cactus;ladybeetle;snowflake;locked;turtle;ghost
031;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_031.png;ccic;cactus;snowmanwithoutsnow;twitter;scissors;clownface;mapleleaf;greenapple;handwithfingerssplayed
032;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_032.png;cci;yinyang;spider;cactus;microbe;grinningcatwithsmilingeyes;heart;deciduoustree;musicalscore
033;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_033.png;ccir;spiderweb;mountfuji;dogface;oncomingpolicecar;sunglasses;highheeledshoe;cactus;hammer
034;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_034.png;cci;dragon;cactus;spoutingwhale;pencil;mouth;sunwithface;eye;highvoltage
035;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_035.png;ccib;lastquartermoonface;redexclamationmark;ice;cactus;droplet;fire;stopsign;timer
036;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_036.png;ccib;cactus;drunkperson;redquestionmark;trex;skullandcrossbones;key;fourleafclover;lightbulb
037;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_037.png;cci;mountfuji;pencil;stopsign;trex;chesspawn;greenapple;heart;candle
038;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_038.png;ccib;highheeledshoe;clownface;candle;skullandcrossbones;redexclamationmark;grinningcatwithsmilingeyes;turtle;mouth
039;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_039.png;cci;lastquartermoonface;highvoltage;deciduoustree;candle;snowflake;twitter;hammer;redquestionmark
040;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_040.png;ccic;yinyang;candle;lightbulb;eye;rosette;ice;snowmanwithoutsnow;dogface
041;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_041.png;ccir;dragon;scissors;locked;spider;fire;sunglasses;key;candle
042;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_042.png;ccib;ladybeetle;spiderweb;mapleleaf;fourleafclover;sunwithface;musicalscore;candle;droplet
043;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_043.png;ccir;spoutingwhale;ghost;timer;candle;oncomingpolicecar;drunkperson;microbe;handwithfingerssplayed
044;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_044.png;ccir;lightbulb;carrot;highvoltage;grinningcatwithsmilingeyes;scissors;chesspawn;timer;spiderweb
045;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_045.png;cci;hammer;ice;clownface;musicalscore;locked;trex;carrot;spoutingwhale
046;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_046.png;ccib;carrot;turtle;stopsign;key;eye;oncomingpolicecar;mapleleaf;deciduoustree
047;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_047.png;ccib;fire;skullandcrossbones;pencil;twitter;carrot;ladybeetle;microbe;dogface
048;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_048.png;cci;carrot;mountfuji;handwithfingerssplayed;snowflake;yinyang;redexclamationmark;fourleafclover;dragon
049;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_049.png;ccib;sunglasses;mouth;carrot;heart;snowmanwithoutsnow;droplet;redquestionmark;ghost
050;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_050.png;cci;rosette;drunkperson;spider;sunwithface;greenapple;lastquartermoonface;highheeledshoe;carrot
051;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_051.png;ccic;hammer;microbe;sunwithface;key;cheesewedge;snowmanwithoutsnow;chesspawn;redexclamationmark
052;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_052.png;ccic;ladybeetle;spider;cheesewedge;eye;timer;mountfuji;redquestionmark;clownface
053;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_053.png;ccib;mouth;handwithfingerssplayed;trex;rosette;deciduoustree;fire;spiderweb;cheesewedge
054;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_054.png;ccis;turtle;fourleafclover;lastquartermoonface;scissors;spoutingwhale;cheesewedge;heart;dogface
055;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_055.png;cci;dragon;highheeledshoe;ghost;cheesewedge;lightbulb;stopsign;musicalscore;twitter
056;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_056.png;ccib;locked;greenapple;highvoltage;skullandcrossbones;droplet;yinyang;cheesewedge;oncomingpolicecar
057;dobble-decks/classic-dobble-1024-px/classic-dobble-1024-px_057.png;cci;sunglasses;mapleleaf;pencil;drunkperson;ice;grinningcatwithsmilingeyes;cheesewedge;snowflake
