CardNr;FilePath;PackingType;Emoji1;Emoji2;Emoji3;Emoji4;Emoji5;Emoji6;Emoji7;Emoji8
035;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_035.png;ccir;redexclamationmark;droplet;stopsign;ice;lastquartermoonface;cactus;timer;fire
036;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_036.png;ccis;drunkperson;cactus;trex;key;redquestionmark;skullandcrossbones;lightbulb;fourleafclover
037;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_037.png;ccib;candle;chesspawn;greenapple;mountfuji;trex;heart;pencil;stopsign
038;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_038.png;ccic;skullandcrossbones;clownface;grinningcatwithsmilingeyes;mouth;highheeledshoe;redexclamationmark;turtle;candle
039;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_039.png;cci;twitter;candle;highvoltage;redquestionmark;deciduoustree;snowflake;hammer;lastquartermoonface
040;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_040.png;ccis;rosette;eye;dogface;lightbulb;candle;yinyang;ice;snowmanwithoutsnow
041;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_041.png;cci;scissors;locked;spider;dragon;key;candle;sunglasses;fire
042;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_042.png;cci;ladybeetle;candle;droplet;mapleleaf;spiderweb;musicalscore;fourleafclover;sunwithface
043;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_043.png;ccis;microbe;oncomingpolicecar;timer;drunkperson;candle;handwithfingerssplayed;spoutingwhale;ghost
044;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_044.png;ccic;chesspawn;lightbulb;timer;carrot;scissors;highvoltage;spiderweb;grinningcatwithsmilingeyes
045;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_045.png;ccis;carrot;locked;trex;hammer;musicalscore;ice;clownface;spoutingwhale
046;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_046.png;ccir;deciduoustree;oncomingpolicecar;carrot;turtle;key;eye;stopsign;mapleleaf
047;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_047.png;cci;skullandcrossbones;dogface;pencil;twitter;ladybeetle;microbe;fire;carrot
048;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_048.png;ccib;fourleafclover;yinyang;handwithfingerssplayed;redexclamationmark;mountfuji;snowflake;carrot;dragon
049;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_049.png;ccic;ghost;snowmanwithoutsnow;mouth;redquestionmark;heart;carrot;droplet;sunglasses
050;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_050.png;cci;sunwithface;carrot;drunkperson;highheeledshoe;rosette;greenapple;lastquartermoonface;spider
051;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_051.png;cci;redexclamationmark;chesspawn;cheesewedge;hammer;snowmanwithoutsnow;key;microbe;sunwithface
052;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_052.png;ccib;clownface;redquestionmark;cheesewedge;spider;ladybeetle;mountfuji;timer;eye
053;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_053.png;ccic;mouth;spiderweb;cheesewedge;handwithfingerssplayed;deciduoustree;fire;rosette;trex
054;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_054.png;ccib;spoutingwhale;heart;lastquartermoonface;scissors;turtle;fourleafclover;dogface;cheesewedge
055;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_055.png;ccir;dragon;stopsign;twitter;lightbulb;musicalscore;highheeledshoe;ghost;cheesewedge
056;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_056.png;ccic;droplet;cheesewedge;oncomingpolicecar;yinyang;highvoltage;skullandcrossbones;greenapple;locked
057;dobble-decks/dobble-like-8-color-1024/dobble-like-8-color-1024_057.png;ccic;mapleleaf;snowflake;drunkperson;cheesewedge;sunglasses;grinningcatwithsmilingeyes;ice;pencil
